time,x,y,z
2.77,-3.13163,-0.439217,2
2.78,-3.13667,-0.401607,2
2.79,-3.14127,-0.363939,2
2.8,-3.14541,-0.326219,2
2.81,-3.14909,-0.288451,2
2.82,-3.15233,-0.250642,2
2.83,-3.15511,-0.212797,2
2.84,-3.15744,-0.174921,2
2.85,-3.15931,-0.13702,2
2.86,-3.16072,-0.0990997,2
2.87,-3.16169,-0.0611648,2
2.88,-3.16219,-0.0232211,2
2.89,-3.16224,0.014726,2
2.9,-3.16184,0.052671,2
2.91,-3.16098,0.0906083,2
2.92,-3.15966,0.128533,2
2.93,-3.15789,0.166438,2
2.94,-3.15567,0.20432,2
2.95,-3.15299,0.242173,2
2.96,-3.14986,0.27999,2
2.97,-3.14627,0.317767,2
2.98,-3.14223,0.355499,2
2.99,-3.13774,0.393179,2
3,-3.1328,0.430803,2
3.01,-3.1274,0.468365,2
3.02,-3.12156,0.505859,2
3.03,-3.11526,0.54328,2
3.04,-3.10852,0.580623,2
3.05,-3.10133,0.617883,2
3.06,-3.09369,0.655053,2
3.07,-3.0856,0.692129,2
3.08,-3.07708,0.729106,2
3.09,-3.06811,0.765977,2
3.1,-3.05869,0.802739,2
3.11,-3.04884,0.839384,2
3.12,-3.03855,0.875909,2
3.13,-3.02782,0.912308,2
3.14,-3.01665,0.948575,2
3.15,-3.00505,0.984706,2
3.16,-2.99302,1.02069,2
3.17,-2.98056,1.05654,2
3.18,-2.96767,1.09223,2
3.19,-2.95435,1.12776,2
3.2,-2.9406,1.16313,2
3.21,-2.92643,1.19833,2
3.22,-2.91184,1.23336,2
3.23,-2.89683,1.26821,2
3.24,-2.8814,1.30288,2
3.25,-2.86556,1.33737,2
3.26,-2.84931,1.37166,2
3.27,-2.83264,1.40575,2
3.28,-2.81557,1.43964,2
3.29,-2.79809,1.47332,2
3.3,-2.78021,1.50679,2
3.31,-2.76193,1.54004,2
3.32,-2.74325,1.57308,2
3.33,-2.72418,1.60588,2
3.34,-2.70471,1.63845,2
3.35,-2.68486,1.67079,2
3.36,-2.66461,1.70289,2
3.37,-2.64399,1.73474,2
3.38,-2.62298,1.76634,2
3.39,-2.6016,1.79769,2
3.4,-2.57984,1.82878,2
3.41,-2.55771,1.85961,2
3.42,-2.53521,1.89016,2
3.43,-2.51234,1.92045,2
3.44,-2.48912,1.95046,2
3.45,-2.46553,1.98019,2
3.46,-2.4416,2.00963,2
3.47,-2.4173,2.03878,2
3.48,-2.39267,2.06764,2
3.49,-2.36768,2.09621,2
3.5,-2.34236,2.12447,2
3.51,-2.3167,2.15242,2
3.52,-2.2907,2.18007,2
3.53,-2.26438,2.2074,2
3.54,-2.23773,2.23441,2
3.55,-2.21075,2.2611,2
3.56,-2.18346,2.28747,2
3.57,-2.15585,2.3135,2
3.58,-2.12794,2.33921,2
