time,vx,vy,vz,px,py,pz
2.68,0,0,173.736,0,0,500.675
2.69,0,0,173.638,0,0,502.411
2.7,0,0,173.54,0,0,504.147
2.71,0,0,173.442,0,0,505.881
2.72,0,0,173.344,0,0,507.615
2.73,0,0,173.246,0,0,509.347
2.74,0,0,173.148,0,0,511.078
2.75,0,0,173.05,0,0,512.809
2.76,0,0,172.952,0,0,514.539
2.77,0,0,172.854,0,0,516.267
2.78,0,0,172.756,0,0,517.995
2.79,0,0,172.658,0,0,519.721
2.8,0,0,172.56,0,0,521.447
2.81,0,0,172.462,0,0,523.171
2.82,0,0,172.364,0,0,524.895
2.83,0,0,172.266,0,0,526.618
2.84,0,0,172.168,0,0,528.339
2.85,0,0,172.07,0,0,530.06
2.86,0,0,171.972,0,0,531.78
2.87,0,0,171.874,0,0,533.499
2.88,0,0,171.776,0,0,535.216
2.89,0,0,171.678,0,0,536.933
2.9,0,0,171.58,0,0,538.649
2.91,0,0,171.482,0,0,540.364
2.92,0,0,171.384,0,0,542.078
2.93,0,0,171.286,0,0,543.79
2.94,0,0,171.188,0,0,545.502
2.95,0,0,171.09,0,0,547.213
2.96,0,0,170.992,0,0,548.923
2.97,0,0,170.894,0,0,550.632
2.98,0,0,170.796,0,0,552.34
2.99,0,0,170.698,0,0,554.047
3,0,0,170.6,0,0,555.753
3.01,0,0,170.502,0,0,557.458
3.02,0,0,170.404,0,0,559.162
3.03,0,0,170.306,0,0,560.865
3.04,0,0,170.208,0,0,562.567
3.05,0,0,170.11,0,0,564.268
3.06,0,0,170.012,0,0,565.968
3.07,0,0,169.914,0,0,567.668
3.08,0,0,169.816,0,0,569.366
3.09,0,0,169.718,0,0,571.063
3.1,0,0,169.62,0,0,572.759
3.11,0,0,169.522,0,0,574.454
3.12,0,0,169.424,0,0,576.149
3.13,0,0,169.326,0,0,577.842
3.14,0,0,169.228,0,0,579.534
3.15,0,0,169.13,0,0,581.225
3.16,0,0,169.032,0,0,582.916
3.17,0,0,168.934,0,0,584.605
3.18,0,0,168.836,0,0,586.293
3.19,0,0,168.738,0,0,587.981
3.2,0,0,168.64,0,0,589.667
3.21,0,0,168.542,0,0,591.353
3.22,0,0,168.444,0,0,593.037
3.23,0,0,168.346,0,0,594.721
3.24,0,0,168.248,0,0,596.403
