x,y
0.452717,0.261556
0.430252,0.272096
0.407204,0.28243
0.383608,0.292554
0.359499,0.30246
0.334916,0.312144
0.309896,0.321597
0.284478,0.330813
0.258701,0.339783
0.232604,0.348501
0.206228,0.356956
0.179613,0.365141
0.152799,0.373045
0.125827,0.380658
0.0987383,0.387971
0.0715734,0.394973
0.0443729,0.401651
0.0171773,0.407996
-0.00997325,0.413996
-0.0370388,0.419638
-0.0639801,0.42491
-0.0907582,0.429799
-0.117335,0.434294
-0.143672,0.438382
-0.169734,0.442049
-0.195483,0.445283
-0.220886,0.448071
-0.245907,0.450399
-0.270513,0.452256
-0.294673,0.453629
-0.318355,0.454504
-0.341529,0.454871
-0.364167,0.454716
-0.386242,0.454029
-0.407727,0.452798
-0.428598,0.451012
-0.448831,0.448662
-0.468405,0.445737
-0.4873,0.442229
-0.505496,0.438128
-0.522975,0.433428
-0.539723,0.42812
-0.555725,0.4222
-0.570967,0.415662
-0.585438,0.4085
-0.599129,0.400713
-0.612031,0.392297
-0.624137,0.38325
-0.635442,0.373573
-0.645942,0.363267
-0.655635,0.352332
-0.66452,0.340772
-0.672598,0.328591
-0.679869,0.315795
-0.686338,0.30239
-0.692008,0.288385
-0.696886,0.273787
-0.700979,0.258609
-0.704294,0.242862
-0.706842,0.226558
-0.708632,0.209712
-0.709676,0.192341
-0.709987,0.17446
-0.709577,0.156089
-0.708461,0.137246
-0.706655,0.117953
-0.704173,0.098232
-0.701033,0.078106
-0.697251,0.0575995
-0.692846,0.0367383
-0.687835,0.015549
-0.682237,-0.00594053
-0.676072,-0.0277014
-0.669358,-0.0497036
-0.662116,-0.0719165
-0.654365,-0.0943084
-0.646125,-0.116847
-0.637417,-0.139498
-0.628261,-0.162228
-0.618677,-0.185003
-0.608685,-0.207787
-0.598306,-0.230544
-0.587558,-0.253238
-0.576462,-0.275832
-0.565036,-0.29829
-0.553301,-0.320575
-0.541275,-0.342648
-0.528976,-0.364474
-0.516422,-0.386013
-0.503631,-0.407231
-0.49062,-0.428088
-0.477405,-0.448549
-0.464001,-0.468577
-0.450426,-0.488135
-0.436693,-0.50719
-0.422817,-0.525705
-0.408811,-0.543646
-0.394689,-0.56098
-0.380463,-0.577674
-0.366145,-0.593696
-0.351747,-0.609016
-0.337278,-0.623603
-0.322749,-0.63743
-0.30817,-0.650468
-0.293548,-0.662692
-0.278894,-0.674076
-0.264214,-0.684597
-0.249515,-0.694233
-0.234805,-0.702963
-0.220089,-0.710768
-0.205373,-0.717632
-0.190663,-0.723537
-0.175964,-0.72847
-0.16128,-0.732418
-0.146615,-0.735371
-0.131973,-0.73732
-0.117358,-0.738257
-0.102773,-0.738178
-0.0882221,-0.737078
-0.0737073,-0.734956
-0.0592319,-0.731813
-0.0447987,-0.72765
-0.0304105,-0.722471
-0.0160702,-0.716282
-0.00178049,-0.70909
0.0124557,-0.700905
0.0266353,-0.691738
0.0407552,-0.681602
0.0548121,-0.670512
0.0688023,-0.658484
0.0827222,-0.645536
0.0965675,-0.631687
0.110334,-0.61696
0.124017,-0.601377
0.13761,-0.584961
0.15111,-0.56774
0.164509,-0.549741
0.177801,-0.530991
0.19098,-0.51152
0.204037,-0.49136
0.216966,-0.470542
0.229758,-0.4491
0.242403,-0.427068
0.254894,-0.40448
0.267218,-0.381372
0.279367,-0.357782
0.29133,-0.333745
0.303094,-0.3093
0.314647,-0.284486
0.325979,-0.25934
0.337074,-0.233902
0.347921,-0.208212
0.358504,-0.182307
0.368811,-0.156229
0.378826,-0.130016
0.388534,-0.103708
0.397919,-0.0773443
0.406967,-0.0509633
0.415661,-0.024604
0.423985,0.00169557
0.431922,0.0278976
0.439457,0.0539648
0.446572,0.0798609
0.453252,0.10555
0.459478,0.130997
0.465236,0.156167
0.470508,0.181028
0.475277,0.205547
0.479529,0.229693
0.483247,0.253435
0.486415,0.276745
0.489018,0.299594
0.491043,0.321955
0.492473,0.343803
0.493297,0.365114
0.4935,0.385865
0.49307,0.406034
0.491996,0.425601
0.490266,0.444547
0.487872,0.462854
0.484802,0.480507
0.481049,0.497491
0.476607,0.513793
0.471467,0.529401
0.465626,0.544304
0.459079,0.558494
0.451822,0.571963
0.443856,0.584705
0.435178,0.596715
0.425789,0.607989
0.415692,0.618527
0.40489,0.628325
0.393388,0.637386
0.381191,0.645711
0.368307,0.653303
0.354745,0.660166
0.340516,0.666304
0.32563,0.671725
0.310101,0.676434
0.293943,0.680442
0.277173,0.683756
0.259807,0.686388
0.241865,0.688346
0.223365,0.689644
0.204331,0.690294
0.184784,0.690308
0.164749,0.689701
0.14425,0.688486
0.123315,0.686678
0.101972,0.684292
0.0802482,0.681344
0.0581748,0.677849
0.0357827,0.673823
0.0131039,0.669283
-0.00982856,0.664245
-0.0329808,0.658726
-0.0563179,0.652742
-0.0798046,0.646309
-0.103405,0.639444
-0.127081,0.632164
-0.150797,0.624485
-0.174513,0.616423
-0.198193,0.607994
-0.221797,0.599212
-0.245287,0.590095
-0.268624,0.580656
-0.291768,0.570911
-0.314681,0.560873
-0.337324,0.550556
-0.359657,0.539973
-0.381642,0.529138
-0.403242,0.518063
-0.424418,0.50676
-0.445134,0.49524
-0.465351,0.483514
-0.485035,0.471592
-0.504151,0.459485
-0.522663,0.447201
-0.540538,0.43475
-0.557744,0.42214
-0.57425,0.409378
-0.590024,0.396472
-0.605038,0.383428
-0.619265,0.370254
-0.632676,0.356955
